Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği
Kızamık,ateş,öksürük,burun akması,kırmızı gözler,boğaz ağrısı
Pansitopeni,kanda protein eksikliği,yorgunluk,kanama,çabuk yorulma,omuz ve yüz arasında pembe ve mor noktalar
Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı
Varisli Damarlar,yorgunluk,kramplar,morarma,obezite,şişmiş bacaklar
Kızıl Hastalığı,boğaz ağrısı,ateş,döküntü,şişmiş bezler,
Diş Çürüğü,diş ağrısı,diş hassasiyeti,dişlerde görünür çukurlar veya delikler,dişlerdeki koyu lekeler,ağız kokusu
Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Kas Spazmı,ani kasılma,istemsiz kas kasılmaları,kas ağrısı,sertlik,sınırlı hareket açıklığı
Adenokarsinom,vücut yapısının büyümesi,doku bozukluğu,vücut ağırlığının azalması,kabızlık,hırıltı
Aort Kapağı Darlığı,göğüs ağrısı,eforla nefes darlığı,baygınlık,göğüs rahatsızlığı,sistolik üfürüm
Malign Neoplazmalar,vücut yapısının büyümesi,doku bozukluğu,kalınlaşmak,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Mesane Bozukluğu,sık idrara çıkma,aciliyet,pelvik ağrısı,,
Akciğer Ödemi,nefes darlığı,idrar tutamama,solunumda hırıltı,çok hızlı solunum,dik durma haricinde nefes darlığı
Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,anüs tahrişi,kanlı dışkı
Pnömotoraks,nefes darlığı,kardiyovasküler bulgu,kanlı balgam veya kan tükürme,öksürük,karbondioksit zehirlenmesi
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,diskromik yaralar
Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,salya
Diş Çürüğü,diş ağrısı,diş hassasiyeti,dişlerde görünür çukurlar veya delikler,dişlerdeki koyu lekeler,ağız kokusu
Akciğer İltihaplanması (zatüre),öksürük,göğüs ağrısı,nefes darlığı,üşümek,yorgunluk
Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı
Farenjit,boğaz ağrısı,yutma güçlüğü,şişmiş lenf düğümleri,,
Felç (beyin kanaması),kusma,baş ağrısı,vücudun bir tarafının zayıflığı,zihin bulanıklığı,
Dejeneratif Poliartrit,ağrı,gıda sindirememe,el uyuşması,genel rahatsızlık,uyuklama
Bağırsak Düğümlenmesi,karın ağrısı,mide bulantısı,kusma,şişkinlik,kabızlık
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
Hipotiroidizm,yorgunluk,kilo almak,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar
Kronik Böbrek Yetmezliği,kusma,dik durma haricinde nefes darlığı,hiperkalemi,idrar azlığı,juguler venöz dolgunluk
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Göz Kapağı Kisti,göz kapağında ağrılı yumru veya şişlik,kızarıklık,hassasiyet,,
Kırık,ağrı,şişme,morarma,şekil bozukluğu,hareket etme zorluğu
Alerji,sürekli hapşırmak,titremek,üşümek,gözlerde sulanma,
Nezle,ateş,öksürük,boğaz ağrısı,burun akıntısı veya tıkalı burun,kas ağrıları
Ependimom,baş ağrısı,mide bulantısı,nöbetler,dengeyi kaybı,
Kişilik Bozukluğu,kabus,umutsuz hissetmek,transeksüel,işitsel halüsinasyonlar,sinirli ruh hali
Meme Malign Neoplazmı,göğüste kitle,vücut yapısının büyümesi,dokunma hissinde bozukluklar,geriye itme,deri kızarıklığı
Şizofreni,işitsel halüsinasyonlar,aşırı uyku hali,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar,hastanın karşı gelmesi
Anksiyete Bozukluğu,aşırı endişe,korku,günlük yaşamı etkileyen kaygı,,
Lenf Hastalıkları,ağrı,vücut yapısının büyümesi,gece terlemesi,dalak büyümesi,doku bozukluğu
Psikotik Bozukluk,intihara meyilli,işitsel halüsinasyonlar,intihara meyilli hissetmek,görsel halüsinasyonlar,motor kaslarda yavaşlama
Endokardit,plöretik ağrı,kalınlaşmak,adele ağrısı,düşük ateş,gece terlemesi
Pansitopeni,kanda protein eksikliği,yorgunluk,kanama,çabuk yorulma,omuz ve yüz arasında pembe ve mor noktalar
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı
Uçuk,dudaklarda veya ağız çevresinde küçük ve ağrılı kabarcıklar,,,,
Mesane Bozukluğu,sık idrara çıkma,aciliyet,pelvik ağrısı,,
Balanit,penis ucunun iltihaplanması,kızarıklık,şişme,ağrı,
Fibromiyalji,geniş alana yayılmış ağrı,yorgunluk,hassasiyet,,
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı
Neoplazma,vücut yapısının büyümesi,doku bozukluğu,göğüs ağrısı,kanlı idrar,tümör hücresinin yayılması
Hipertiroidizm,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,yorgunluk,ruh halinde ani değişimler
Zona Hastalığı,sinir yolunu takip eden ağrılı döküntü,,,,
Pulmoner Hipertansiyon,nefes darlığı,korneada demir birikimi çizgisi,bacakların ağırlaşması,solunum sesi azalması,boyun tutulması
Safra Taşları,sağ üst karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Yutma Bozukluğu,dokunma hissinde bozukluklar,sendeleyerek yürümek,dizartri,ağrılı yutma,ses kısıklığı
Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz
Demans,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,ateş
Mide Kanseri,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,kilo kaybı
Tonik-Klonik Epilepsi,kas seğirmesi,uyuklama,dudak şapırdatma,titreme,yüksek ve kendi sesine duyulan korku
Migren,şiddetli baş ağrısı, mide bulantısı, kusma, ışığa duyarlılık, sese duyarlılık
Yüksek Ateş,yüksek vücut ısısı,,,,
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler
Alerji,sürekli hapşırmak,titremek,üşümek,gözlerde sulanma,
Suçiçeği,yorgunluk,baş ağrısı,keyifsizlik,vücutta kırmızı lekeler,kaşıntı
Uyuz,yoğun kaşıntı,özellikle geceleri,küçük kabarcıklar veya şişlikler,,
Kalp Krizi,kusma,nefes darlığı,terlemek,göğüs ağrısı,mide bulantısı
Kronik Hastalık Anemisi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,egzersiz toleransının azalması
Tüberküloz,göğüs ağrısı,yorgunluk,kilo kaybı,iştah kaybı,hafif ateş
Diyabetik Ketoasidoz,sık idrara çıkma,kusma,mide bulantısı,karın ağrısı,garip hissetmek
Aspirasyon Pnömonisi,mediastinal kayma,ateş,kasların hızlı kasılıp gevşemesi,ruhsal durum değişiklikleri,yarı saydamlığın azalması
Neoplazma,vücut yapısının büyümesi,doku bozukluğu,göğüs ağrısı,kanlı idrar,tümör hücresinin yayılması
Uyuz,yoğun kaşıntı,özellikle geceleri,küçük kabarcıklar veya şişlikler,,
Hashimoto Tiroiditi,hipotiroidizm,yetersiz olan bir tiroit,,,
Asperger Sendromu,sosyal etkileşimde zorluk,tekrarlayan davranışlar,dikkat dağınıklığı,,
Madde Bağımlılığı,sakinlik (ilaçla yatıştırma),uyuklama,konuşma bozukluğu,bilinç bulanıklığı,solunum sıkıntısı
Hipotiroidizm,yorgunluk,kilo almak,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar
Karaciğer Hücrelerinin Primer Karsinomu,vücut yapısının büyümesi,dalak büyümesi,doku bozukluğu,felç,tümör hücresinin yayılması
Nezle,ateş,öksürük,boğaz ağrısı,burun akıntısı veya tıkalı burun,kas ağrıları
Triküspit Kapak Yetmezliği,nefes darlığı,ağrı,kusma,mide bulantısı,düşük nabız
Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi
Migren,şiddetli baş ağrısı, mide bulantısı, kusma, ışığa duyarlılık, sese duyarlılık
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Hiyatus Hernisi,karın ağrısı,çabuk yorulma,ön belirti,kusma,mide bulantısı
Duygu Değişimi,aşırı yorgunluk,uykusuzluk,idrar tutamama,hastanın karşı gelmesi,umutsuz hissetmek
İdrar Kaçırma,kısmi felç,nöbet geçirmek,bitkinlik,idrar kaçırma hissi,bilinçsiz durum
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Gastrit,hem pozitif,karın ağrısı,kusma,dengesizlik,mide bulantısı
Egzama,kaşıntı,iltihaplı cilt,döküntü,,
Hipertansif Kalp Hastalığı,yüksek tansiyon,göğüs ağrısı veya rahatsızlığı,nefes darlığı,yorgunluk,
Dekübit Ülser,sistolik üfürüm,zayıf,ateş,,
Karaciğer Hücrelerinin Primer Karsinomu,vücut yapısının büyümesi,dalak büyümesi,doku bozukluğu,felç,tümör hücresinin yayılması
Kolelityaz,kusma,mide bulantısı,karın ağrısı,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Lösemi,yorgunluk,soluk cilt,sık enfeksiyonlar,kolay kanama veya morarma,
Trombüs,hamlık,anoreksiya,hipertoniklik (kasların aşırı kasılması),nefes darlığı,hipoalbüminemi
Crohn Hastalığı,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,
Pyelonefrit,ateş,üşümek,ağrı,idrar tutamama,kanlı idrar
Adenokarsinom,vücut yapısının büyümesi,doku bozukluğu,vücut ağırlığının azalması,kabızlık,hırıltı
Pansitopeni,kanda protein eksikliği,yorgunluk,kanama,çabuk yorulma,omuz ve yüz arasında pembe ve mor noktalar
Sinüs Taşikardisi,sol atriyal hipertrofi,ter,alkol bağımlılığı,göğüste baskı,yara dokusu
Tifo,karın ağrısı,üşümek,yorgunluk,yüksek ateş,kusma
İskemi,göğüs ağrısı,nefes darlığı,uyuklama,göğüste baskı,göğüs rahatsızlığı
Felç (beyin kanaması),kusma,baş ağrısı,vücudun bir tarafının zayıflığı,zihin bulanıklığı,
Kolesistit,karın ağrısı,inilti,mide bulantısı,murphy belirtisi,şişkinlik
Hemoroid,kanama,azalan bağırsak sesleri,dışkı miktarında azalma,mide bulantısı ve kusma,açlık
Aflatoksikoz,kusma,ishal,sarılık,karaciğer hasarı,ölüm
Hipoglisemi,aşırı açlık,konuşma bozukluğu,sinirlilik,çarpıntı hissi,kusma
Kalp Krizi,kusma,nefes darlığı,terlemek,göğüs ağrısı,mide bulantısı
Mononükleoz,ateş,boğaz ağrısı,yorgunluk,şişmiş lenf düğümleri,döküntü
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,diskromik yaralar
Kan Pıhtısı,ağrı,şişme,kızarıklık,sıcaklık,zarar görmüş bölgede hassasiyet
Pnömotoraks,nefes darlığı,kardiyovasküler bulgu,kanlı balgam veya kan tükürme,öksürük,karbondioksit zehirlenmesi
Aşırı Sıvı Yüklenmesi,solunumda hırıltı,juguler venöz dolgunluk,hiperkalemi,dik durma haricinde nefes darlığı,nefes darlığı
Kronik Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı,öksürük
Siyatik,bel ağrısı,bacak ağrısı,uyuşma veya karıncalanma,,
Böbrek Hastalığı,nefes darlığı,hiperkalemi,göğüs ağrısı,ateş,gravida 0
Periferik Damar Hastalığı,nefes darlığı,dinlenirken ağrı durumu,göğüs ağrısı,tepkisizlik,hiperkalemi
Divertikülit,karın ağrısı,bakterital apse,donukluk,kırmızı lekeler,ishal
İntihar Girişimi,işitsel halüsinasyonlar,uykusuzluk,intihara meyilli,motor kaslarda yavaşlama,ağlamak
Adenovirüs,ateş,boğaz ağrısı,öksürük,göz nezlesi veya iltihabı,döküntü
Glokom,gözde optik sinire zarar verebilecek artan basınç,görme kaybına neden olma,düşmek,karın şişmesi,dengesiz yürüyüş
Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,boyun ağrısı,baş dönmesi,denge kaybı
Fibromiyalji,geniş alana yayılmış ağrı,yorgunluk,hassasiyet,,
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Panik Atak,nefes darlığı,çarpıntı hissi,göğüs ağrısı,terlemek,titreme
Bronşiyal Spazm,nefes darlığı,yara dokusu,düşük ateş,bilinen ilaç alerjisi yok,ağrı
Karaciğer Hücrelerinin Primer Karsinomu,vücut yapısının büyümesi,dalak büyümesi,doku bozukluğu,felç,tümör hücresinin yayılması
Dehidrasyon,baygınlık,ateş,ishal,kusma,tansiyon düşüklüğü
İdrar Yolu Enfeksiyonu,idrar yaparken yanma,mesane rahatsızlığı,idrarın kötü kokusu,sürekli idrar hissi,ağrılı idrar yapma
Kan Pıhtısı,ağrı,şişme,kızarıklık,sıcaklık,zarar görmüş bölgede hassasiyet
Böbrek Yetmezliği,nefes darlığı,yorgunluk,dik durma haricinde nefes darlığı,idrar tutamama,tansiyon düşüklüğü
Deliryum,dengesiz yürüyüş,içine kapanmak,kanda sodyum azlığı,sözlü taciz edici davranış,intihara meyilli hissetmek
Paroksismal Dispne,nefes darlığı,dik durma haricinde nefes darlığı,eforla nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı
Saçkıran,saç dökülmesi veya kellik,düzensiz veya genelleştirilmiş saç dökülmesi,,,
Paroksismal Dispne,nefes darlığı,dik durma haricinde nefes darlığı,eforla nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı
Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü
Pansitopeni,kanda protein eksikliği,yorgunluk,kanama,çabuk yorulma,omuz ve yüz arasında pembe ve mor noktalar
Meme Malign Neoplazmı,göğüste kitle,vücut yapısının büyümesi,dokunma hissinde bozukluklar,geriye itme,deri kızarıklığı
Kardiyomiyopati,nefes darlığı,dik durma haricinde nefes darlığı,hamlık,juguler venöz dolgunluk,çarpıntı
Enfeksiyon,ateş,deri kızarıklığı,yarı saydamlığın azalması,karaciğer ve dalak büyümesi,üşümek
Üst Solunum Yolu Enfeksiyonu,nefes darlığı,öksürük,boğaz ağrısı,hırıltı,zor nefes alma
Gastrit,hem pozitif,karın ağrısı,kusma,dengesizlik,mide bulantısı
Orak Hücre Anemisi,ani ağrı,sırt ağrısı,ağrı,nefes darlığı,nezle
Şizofreni,işitsel halüsinasyonlar,aşırı uyku hali,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar,hastanın karşı gelmesi
Periferik Arter Hastalığı,ağrı,uyuşukluk ve hissizlik,kollarda veya bacaklarda karıncalanma,,
Anemi,yorgunluk,nefes darlığı,baş dönmesi,soluk cilt,denge kaybı
İskemi,göğüs ağrısı,nefes darlığı,uyuklama,göğüste baskı,göğüs rahatsızlığı
Böbrek Taşı,alt sırtta veya yan tarafta ağrı,mide bulantısı,kusma,idrarda kan,
Kan Zehirlenmesi,ateş,solunumda zayıflık,tansiyon düşüklüğü,çok hızlı solunum,üşümek
Mesane Kanseri,idrarda kan,idrar yaparken ağrı veya yanma,sık idrara çıkma,idrara çıkma aciliyeti,idrar kaçırma
Aspirasyon Pnömonisi,mediastinal kayma,ateş,kasların hızlı kasılıp gevşemesi,ruhsal durum değişiklikleri,yarı saydamlığın azalması
Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,
Kızamık,ateş,öksürük,burun akması,kırmızı gözler,boğaz ağrısı
Periferik Arter Hastalığı,ağrı,uyuşukluk ve hissizlik,kollarda veya bacaklarda karıncalanma,,
Şizofreni,işitsel halüsinasyonlar,aşırı uyku hali,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar,hastanın karşı gelmesi
Mononükleoz,ateş,boğaz ağrısı,yorgunluk,şişmiş lenf düğümleri,döküntü
Morbid Obezite,nefessiz kalma,hareketsizlik,göğüs ağrısı,öksürük,mutsuz
Prostat Malign Neoplazmı,kanlı idrar,dokunma duyusu ve ağrı hissi bozukluğu,bitkinlik,birden fazla kasta ağrı,taş düşürmek
Asperger Sendromu,sosyal etkileşimde zorluk,tekrarlayan davranışlar,dikkat dağınıklığı,,
Astım,hırıltı,nefes darlığı,göğüste sıkışma,öksürme,öksürük
Deliryum,dengesiz yürüyüş,içine kapanmak,kanda sodyum azlığı,sözlü taciz edici davranış,intihara meyilli hissetmek
Manik Bozukluk,intihara meyilli,intihara meyilli hissetmek,artan enerji,aşırı uyku,beyazlama
Anksiyete Bozukluğu,aşırı endişe,korku,günlük yaşamı etkileyen kaygı,,
Ensefalopati,düzensizlik,asteriksi,kanama,uyuklama,duruş
Mide Kanseri,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,kilo kaybı
Uyuz,yoğun kaşıntı,özellikle geceleri,küçük kabarcıklar veya şişlikler,,
İntihar Girişimi,işitsel halüsinasyonlar,uykusuzluk,intihara meyilli,motor kaslarda yavaşlama,ağlamak
Duygu Değişimi,aşırı yorgunluk,uykusuzluk,idrar tutamama,hastanın karşı gelmesi,umutsuz hissetmek
Kronik Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı,öksürük
Romatizmal Eklem İltihabı,ağrı,şişme,eklemlerde kısıtlılık,,
Pnömokistik Carinii Pnömoni,kuru öksürük,sarı balgam,kansızlık ve kilo kaybı,üşümek,vücut ağırlığının azalması
İyi Huylu Prostat Hipertrofisi,ruhsal durum değişiklikleri,kansızlık ve kilo kaybı,bayılma,ortostaz,dik durma haricinde nefes darlığı
Lenf Hastalıkları,ağrı,vücut yapısının büyümesi,gece terlemesi,dalak büyümesi,doku bozukluğu
Kızamık,ateş,öksürük,burun akması,kırmızı gözler,boğaz ağrısı
Kuduz,ateş,baş ağrısı,yutma güçlüğü,kas ağrıları,ısırık yerinde karıncalanma
Kalp Krizi,kusma,nefes darlığı,terlemek,göğüs ağrısı,mide bulantısı
Pulmoner Fibroz,nefes darlığı,kuru öksürük,yorgunluk,,
Adenokarsinom,vücut yapısının büyümesi,doku bozukluğu,vücut ağırlığının azalması,kabızlık,hırıltı
Siyatik,bel ağrısı,bacak ağrısı,uyuşma veya karıncalanma,,
Mesane Kanseri,idrarda kan,idrar yaparken ağrı veya yanma,sık idrara çıkma,idrara çıkma aciliyeti,idrar kaçırma
Bağırsak Malabsorbsiyonu,kronik ishal,kilo kaybı,karın ağrısı,karın şişkinliği,yorgunluk
Kızamık,ateş,öksürük,burun akması,kırmızı gözler,boğaz ağrısı
Burun Bozukluğu,burun tıkanıklığı,burun akması,hapşırma,yüz ağrısı veya basıncı,koku kaybı
Aşırı Sıvı Yüklenmesi,solunumda hırıltı,juguler venöz dolgunluk,hiperkalemi,dik durma haricinde nefes darlığı,nefes darlığı
Mononükleoz,ateş,boğaz ağrısı,yorgunluk,şişmiş lenf düğümleri,döküntü
Kan Zehirlenmesi,ateş,solunumda zayıflık,tansiyon düşüklüğü,çok hızlı solunum,üşümek
İleus,bakterital apse,akut batın,hava sıvı seviyesi,nefes almak,karın hassasiyeti
Faranjit,şiddetli boğaz ağrısı,yutma güçlüğü,ateş,şişmiş bademcikler,ses değişiklikleri
Ereksiyon Bozukluğu,erekte olamama,ereksiyon olma,,,
Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği
Trombositopeni,ezik,kanda monosit artışı,beyin omurilik sıvısı akıntısı,kanama,çok hızlı solunum
Sinüs Taşikardisi,sol atriyal hipertrofi,ter,alkol bağımlılığı,göğüste baskı,yara dokusu
İyi Huylu Prostat Hipertrofisi,ruhsal durum değişiklikleri,kansızlık ve kilo kaybı,bayılma,ortostaz,dik durma haricinde nefes darlığı
Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi
Kronik Obstrüktif Akciğer Hastalığı,nefes darlığı,hırıltı,öksürük,solunumda zayıflık,iltihaplı balgam
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı
Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi
